Date,Vehicle Class,Fuel Type,Classified,Date
2022-02-01,Private Bus,Diesel,141,2022-02-01
2022-02-01,Private Car,Diesel,2,2022-02-01
2022-02-01,Private Car,Electric,16396,2022-02-01
2022-02-01,Private Car,Petrol,70348,2022-02-01
2022-02-01,Private Light Bus,Diesel,154,2022-02-01
2022-02-01,Private Light Bus,Electric,1,2022-02-01
2022-02-01,Private Light Bus,LPG,134,2022-02-01
2022-02-01,Public Bus,Diesel,1176,2022-02-01
2022-02-01,Public Bus,Electric,2,2022-02-01
2022-02-01,Public Light Bus,Diesel,29,2022-02-01
2022-02-01,Public Light Bus,LPG,365,2022-02-01
2022-02-01,Taxi,LPG,2170,2022-02-01
2022-03-01,HGV,Diesel,877,2022-03-01
2022-03-01,LGV,Diesel,10943,2022-03-01
2022-03-01,LGV,Electric,107,2022-03-01
2022-03-01,LGV,Petrol,4,2022-03-01
2022-03-01,MGV,Diesel,3470,2022-03-01
2022-03-01,MGV,Electric,2,2022-03-01
2022-03-01,Motorcycle,Electric,115,2022-03-01
2022-03-01,Motorcycle,Petrol,21462,2022-03-01
2022-03-01,Private Bus,Diesel,141,2022-03-01
2022-03-01,Private Car,Diesel,2,2022-03-01
2022-03-01,Private Car,Electric,18225,2022-03-01
2022-03-01,Private Car,Petrol,71512,2022-03-01
2022-03-01,Private Light Bus,Diesel,156,2022-03-01
2022-03-01,Private Light Bus,Electric,1,2022-03-01
2022-03-01,Private Light Bus,LPG,134,2022-03-01
2022-03-01,Public Bus,Diesel,1185,2022-03-01
2022-03-01,Public Bus,Electric,2,2022-03-01
2022-03-01,Public Light Bus,Diesel,29,2022-03-01
2022-03-01,Public Light Bus,LPG,375,2022-03-01
2022-03-01,Taxi,LPG,2223,2022-03-01
2022-04-01,HGV,Diesel,911,2022-04-01
