資料年月,縣市,燃料別,車種類別,數量
201304,臺北市,汽油,機車輕型,232989
201304,臺北市,汽油(油電),大客車,0
201304,臺北市,汽油(油電),大貨車,0
201304,臺北市,汽油(油電),小客車,0
201304,臺北市,汽油(油電),小貨車,0
201304,臺北市,汽油(油電),特種車,0
201304,臺北市,汽油(油電),機車重型,0
201304,臺北市,汽油(油電),機車輕型,0
201304,臺北市,汽油/LPG,大客車,0
201304,臺北市,汽油/LPG,大貨車,0
201304,臺北市,汽油/LPG,小客車,7330
201304,臺北市,汽油/LPG,小貨車,2
201304,臺北市,汽油/LPG,特種車,16
201304,臺北市,汽油/LPG,機車重型,0
201304,臺北市,汽油/LPG,機車輕型,0
201304,臺北市,汽油/電能,大客車,0
201304,臺北市,汽油/電能,大貨車,0
201304,臺北市,汽油/電能,小客車,10374
201304,臺北市,汽油/電能,小貨車,2
201304,臺北市,汽油/電能,特種車,10
